证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期
834415,恒拓开源,140511487,106041634,2020-07-27,软件和信息技术服务业,河南省,2025-05-23
834475,三友科技,102895200,42049860,2020-07-27,专用设备制造业,浙江省,2025-05-23
834599,同力股份,457525000,345749346,2021-02-22,专用设备制造业,陕西省,2025-05-23
834639,晨光电缆,201600000,117101133,2022-07-12,电气机械和器材制造业,浙江省,2025-05-23
834765,美之高,69613044,43997295,2021-07-05,家具制造业,广东省,2025-05-23
834770,艾能聚,130132175,81893800,2023-02-28,电气机械和器材制造业,浙江省,2025-05-23
834950,迅安科技,73320000,37050000,2023-01-11,专用设备制造业,江苏省,2025-05-23
835174,五新隧装,90008718,86751764,2021-08-20,专用设备制造业,湖南省,2025-05-23
835179,凯德石英,75000000,59260770,2022-03-04,非金属矿物制品业,北京市,2025-05-23
835184,国源科技,133300000,87723735,2020-07-27,软件和信息技术服务业,北京市,2025-05-23
835185,贝特瑞,1127338649,1109172997,2020-07-27,计算机、通信和其他电子设备制造业,广东省,2025-05-23
835207,众诚科技,93995000,56314468,2022-09-23,软件和信息技术服务业,河南省,2025-05-23
835237,力佳科技,66456000,65029120,2022-11-25,电气机械和器材制造业,湖北省,2025-05-23
835305,*ST云创,132376125,81100875,2021-08-26,软件和信息技术服务业,江苏省,2025-05-23
835368,连城数控,234780440,223369634,2020-07-27,专用设备制造业,辽宁省,2025-05-23
835438,戈碧迦,141250000,139394050,2024-03-25,非金属矿物制品业,湖北省,2025-05-23
835508,殷图网联,50000000,26037500,2020-07-27,软件和信息技术服务业,北京市,2025-05-23
835579,机科股份,129480000,44574420,2023-11-30,通用设备制造业,北京市,2025-05-23
835640,富士达,187728000,180565410,2020-07-27,计算机、通信和其他电子设备制造业,陕西省,2025-05-23
835670,数字人,106182400,66648421,2020-12-08,软件和信息技术服务业,山东省,2025-05-23
835857,百甲科技,181263297,115385579,2023-03-14,金属制品业,江苏省,2025-05-23
835892,中科美菱,96730934,27898177,2022-10-18,专用设备制造业,安徽省,2025-05-23
835985,海泰新能,309476200,210721859,2022-08-08,电气机械和器材制造业,河北省,2025-05-23
836077,吉林碳谷,587681817,316956817,2021-08-31,化学纤维制造业,吉林省,2025-05-23
