板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,003023,彩虹集团,2020-12-11,"105,341,600","105,072,344",C 制造业
主板,003025,思进智能,2020-12-11,"236,627,965","188,679,940",C 制造业
主板,003026,中晶科技,2020-12-18,"130,231,497","95,695,312",C 制造业
主板,003027,同兴科技,2020-12-18,"130,723,200","104,860,968",N 公共环保
主板,003028,振邦智能,2020-12-28,"111,307,554","54,251,552",C 制造业
主板,003029,吉大正元,2020-12-24,"193,620,227","170,842,541",I 信息技术
主板,003030,祖名股份,2021-01-06,"124,780,000","79,385,850",C 制造业
主板,003031,中瓷电子,2021-01-04,"451,052,859","340,156,696",C 制造业
主板,003032,*ST传智,2021-01-12,"402,447,500","276,219,885",P 教育
主板,003033,征和工业,2021-01-11,"81,750,000","80,743,867",C 制造业
主板,003035,南网能源,2021-01-19,"3,787,878,787","3,787,878,787",M 科研服务
主板,003036,泰坦股份,2021-01-28,"216,041,091","216,041,091",C 制造业
主板,003037,三和管桩,2021-02-04,"599,074,678","599,074,678",C 制造业
主板,003038,鑫铂股份,2021-02-10,"243,695,765","165,497,912",C 制造业
主板,003039,顺控发展,2021-03-08,"617,518,730","617,518,730",D 水电煤气
主板,003040,楚天龙,2021-03-22,"461,135,972","456,850,258",C 制造业
主板,003041,真爱美家,2021-04-06,"144,000,000","136,823,400",C 制造业
主板,003042,中农联合,2021-04-06,"142,480,000","127,365,745",C 制造业
主板,003043,华亚智能,2021-04-06,"95,028,044","55,954,886",C 制造业
主板,003816,中国广核,2019-08-26,"39,334,986,100","39,334,986,100",D 水电煤气
创业板,300001,特锐德,2009-10-30,"1,055,691,713","1,027,946,320",C 制造业
创业板,300002,神州泰岳,2009-10-30,"1,962,564,954","1,843,045,949",I 信息技术
创业板,300003,乐普医疗,2009-10-30,"1,880,611,181","1,616,098,519",C 制造业
创业板,300004,南风股份,2009-10-30,"479,993,598","479,993,598",C 制造业
创业板,300005,探路者,2009-10-30,"883,702,186","883,314,286",C 制造业
创业板,300006,莱美药业,2009-10-30,"1,055,911,205","1,055,820,898",C 制造业
创业板,300007,汉威科技,2009-10-30,"327,445,619","283,295,039",I 信息技术
创业板,300008,天海防务,2009-10-30,"1,728,029,133","1,647,290,071",C 制造业
创业板,300009,安科生物,2009-10-30,"1,672,521,258","1,221,700,208",C 制造业
创业板,300010,豆神教育,2009-10-30,"2,066,612,659","1,663,332,582",I 信息技术
创业板,300011,鼎汉技术,2009-10-30,"558,650,387","507,256,004",C 制造业
创业板,300012,华测检测,2009-10-30,"1,682,828,214","1,431,769,688",M 科研服务
创业板,300013,新宁物流,2009-10-30,"558,358,894","445,961,553",G 运输仓储
创业板,300014,亿纬锂能,2009-10-30,"2,045,721,497","1,861,434,646",C 制造业
创业板,300015,爱尔眼科,2009-10-30,"9,327,014,495","7,930,959,173",Q 卫生
创业板,300016,北陆药业,2009-10-30,"491,947,119","491,190,669",C 制造业
创业板,300017,网宿科技,2009-10-30,"2,445,732,567","2,292,424,419",I 信息技术
创业板,300018,中元股份,2009-10-30,"480,831,536","445,627,251",C 制造业
创业板,300019,硅宝科技,2009-10-30,"393,116,700","337,530,396",C 制造业
创业板,300020,*ST银江,2009-10-30,"794,677,974","766,639,584",I 信息技术
创业板,300021,大禹节水,2009-10-30,"883,079,246","729,717,938",N 公共环保
创业板,300022,吉峰科技,2009-10-30,"494,240,380","494,229,430",F 批发零售
创业板,300024,机器人,2009-10-30,"1,565,619,950","1,539,926,904",C 制造业
创业板,300025,华星创业,2009-10-30,"508,792,922","431,773,519",I 信息技术
创业板,300026,红日药业,2009-10-30,"3,004,154,837","2,738,528,478",C 制造业
创业板,300027,华谊兄弟,2009-10-30,"2,774,505,919","2,484,978,787",R 文化传播
创业板,300029,*ST天龙,2009-12-25,"200,506,500","200,432,025",E 建筑业
创业板,300030,阳普医疗,2009-12-25,"309,187,315","259,927,398",C 制造业
创业板,300031,宝通科技,2009-12-25,"418,735,961","351,891,158",I 信息技术
创业板,300032,金龙机电,2009-12-25,"803,169,608","803,169,608",C 制造业
创业板,300033,同花顺,2009-12-25,"537,600,000","275,505,581",J 金融业
创业板,300034,钢研高纳,2009-12-25,"796,961,563","766,646,058",C 制造业
创业板,300035,中科电气,2009-12-25,"685,426,671","583,348,130",C 制造业
创业板,300036,超图软件,2009-12-25,"492,766,617","438,477,777",I 信息技术
创业板,300037,新宙邦,2010-01-08,"753,883,470","546,189,058",C 制造业
创业板,300039,上海凯宝,2010-01-08,"1,046,000,000","916,926,226",C 制造业
创业板,300040,九洲集团,2010-01-08,"611,891,316","485,856,925",D 水电煤气
创业板,300041,回天新材,2010-01-08,"559,434,092","544,427,293",C 制造业
创业板,300042,朗科科技,2010-01-08,"200,400,000","200,381,550",C 制造业
创业板,300043,星辉娱乐,2010-01-20,"1,244,198,401","1,243,539,501",I 信息技术
创业板,300044,ST赛为,2010-01-20,"763,869,228","715,400,416",I 信息技术
创业板,300045,华力创通,2010-01-20,"662,675,236","516,313,176",C 制造业
创业板,300046,台基股份,2010-01-20,"236,531,371","236,531,371",C 制造业
创业板,300047,天源迪科,2010-01-20,"637,744,672","546,641,741",I 信息技术
创业板,300048,合康新能,2010-01-20,"1,116,701,357","1,115,889,482",C 制造业
创业板,300049,福瑞股份,2010-01-20,"266,356,100","233,640,217",C 制造业
创业板,300050,世纪鼎利,2010-01-20,"544,846,718","544,514,149",I 信息技术
创业板,300051,琏升科技,2010-02-11,"371,976,690","365,687,440",I 信息技术
创业板,300052,ST中青宝,2010-02-11,"261,858,710","261,851,210",I 信息技术
创业板,300053,航宇微,2010-02-11,"696,874,323","650,818,928",C 制造业
创业板,300054,鼎龙股份,2010-02-11,"940,182,475","730,007,975",C 制造业
创业板,300055,万邦达,2010-02-26,"836,749,606","632,701,144",C 制造业
创业板,300056,中创环保,2010-02-26,"385,490,443","385,150,243",C 制造业
创业板,300057,万顺新材,2010-02-26,"889,448,197","716,852,722",C 制造业
创业板,300058,蓝色光标,2010-02-26,"2,526,803,734","2,448,095,917",L 商务服务
